link,response_code
http://magento2.seart.pl/pl/contact,200
http://magento2.seart.pl/pl/customer/account/login/referer/aHR0cDovL21hZ2VudG8yLnNlYXJ0LnBsL3BsLw%2C%2C/,200
http://magento2.seart.pl/pl/customer/account/create/,200
http://magento2.seart.pl/pl/checkout/cart/,200
http://magento2.seart.pl/pl/contact,200
http://magento2.seart.pl/pl/catalogsearch/advanced/,500
http://magento2.seart.pl/pl/wszystkie.html,200
http://magento2.seart.pl/pl/meble.html,200
http://magento2.seart.pl/pl/meble/rustyk.html,200
http://magento2.seart.pl/pl/meble/tennessee.html,200
http://magento2.seart.pl/pl/meble/marika-sosnowa.html,200
http://magento2.seart.pl/pl/meble/country-new.html,200
http://magento2.seart.pl/pl/meble/steel-wood.html,200
http://magento2.seart.pl/pl/meble/factory-sosna.html,200
http://magento2.seart.pl/pl/meble/factory-dab.html,200
http://magento2.seart.pl/pl/meble/gart.html,200
http://magento2.seart.pl/pl/meble/taborety.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/drzwi-przesuwne.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/prowadnice.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/akcesoria-drzwi-przesuwnych.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/acesoria-drzwi-przesuwnych.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/prowadniki-drzwi-przesuwnych.html,200
http://magento2.seart.pl/pl/nogi.html,200
http://magento2.seart.pl/pl/blaty.html,200
http://magento2.seart.pl/pl/krany.html,200
http://magento2.seart.pl/pl/krany/baterie-scienne.html,200
http://magento2.seart.pl/pl/krany/baterie-prysznicowe.html,200
http://magento2.seart.pl/pl/krany/baterie-stojace.html,200
http://magento2.seart.pl/pl/krany/baterie-wannowe.html,200
http://magento2.seart.pl/pl/krany/armatura-pozostale.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/cyfry-wg-typu.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/galki.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/gwozdzie-cwieki.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/haki-wieszakowe.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/klamki-do-drzwi-i-okien.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/kolatki-drzwiowe.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/kolka-meblowe.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/kratki-wentylacyjne.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/laczniki-budowlane-meblowe.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/okucia-skrzyn-kufrow.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/pochwyty-drzwi.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/uchwyty-papier.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/uchwyty.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/wkrety-sruby.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/wsporniki.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/zasuwy-i-skoble.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/zawiasy.html,200
http://magento2.seart.pl/pl/dekoracje.html,200
http://magento2.seart.pl/pl/dekoracje/obrazy-metalowe-3d.html,200
http://magento2.seart.pl/pl/dekoracje/tabliczki.html,200
http://magento2.seart.pl/pl/dekoracje/dodatki-retro.html,200
http://magento2.seart.pl/pl/dekoracje/swieczniki.html,200
http://magento2.seart.pl/pl/dekoracje/doniczki-oslonki-doniczkowe.html,200
http://magento2.seart.pl/pl/dekoracje/akcesoria-kuchenne.html,200
http://magento2.seart.pl/pl/meble/tennessee.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych/drzwi-przesuwne.html,200
http://magento2.seart.pl/pl/systemy-drzwi-przesuwnych.html,200
http://magento2.seart.pl/pl/nogi.html,200
http://magento2.seart.pl/pl/akcesoria-wg-typu/wsporniki.html,200
http://magento2.seart.pl/pl/krany/baterie-stojace.html,200
http://magento2.seart.pl/pl/dekoracje/obrazy-metalowe-3d.html,200
https://seartgroup.com/,200
http://magento2.seart.pl/polityka-prywatnosci-pl,200
http://magento2.seart.pl/pl/cookies-pl,200
http://magento2.seart.pl/pl/contact,200
http://magento2.seart.pl/pl/customer/account/,302
http://magento2.seart.pl/pl/checkout/cart/,200
http://magento2.seart.pl/pl/sales/order/history/,302
